ticker,name,sector,market
AKZA.AS,Akzo Nobel,n/a (Amsterdam),Euronext 100
AD.AS,Ahold Delhaize,n/a (Amsterdam),Euronext 100
MT.AS,ArcelorMittal,"n/a (Amsterdam, Paris)",Euronext 100
ARGX.BR,Argenx,n/a (Brussels),Euronext 100
ASM.AS,ASM International,n/a (Amsterdam),Euronext 100
ASML.AS,ASML,n/a (Amsterdam),Euronext 100
ASRNL.AS,ASR Nederland,n/a (Amsterdam),Euronext 100
CS.PA,Axa,n/a (Paris),Euronext 100
BIRG.IR,Bank of Ireland,n/a (Dublin),Euronext 100
BESI.AS,BE Semiconductor Industries,n/a (Amsterdam),Euronext 100
BIM.PA,BioMérieux,n/a (Paris),Euronext 100
BNP.PA,BNP Paribas,n/a (Paris),Euronext 100
EN.PA,Bouygues,n/a (Paris),Euronext 100
BVI.PA,Bureau Veritas,n/a (Paris),Euronext 100
CPR.MI,Cattolica Assicurazioni,n/a (Milan),Euronext 100
CAP.PA,Capgemini,n/a (Paris),Euronext 100
CA.PA,Carrefour,n/a (Paris),Euronext 100
ACA.PA,Crédit Agricole,n/a (Paris),Euronext 100
DIE.BR,Deutsche Börse,n/a (Frankfurt),Euronext 100
BN.PA,Danone,n/a (Paris),Euronext 100
DSY.PA,Dassault Systèmes,n/a (Paris),Euronext 100
DNB.OL,DNB,n/a (Oslo),Euronext 100
DSFIR.AS,DSM,n/a (Amsterdam),Euronext 100
EDEN.PA,Edenred,n/a (Paris),Euronext 100
EDP.LS,EDP,n/a (Lisbon),Euronext 100
EDPR.LS,EDP Renováveis,n/a (Lisbon),Euronext 100
FGR.PA,Eiffage,n/a (Paris),Euronext 100
ENEL.MI,Enel,n/a (Milan),Euronext 100
ENGI.PA,Engie,n/a (Paris),Euronext 100
ENI.MI,Eni,n/a (Milan),Euronext 100
EQNR.OL,Equinor,n/a (Oslo),Euronext 100
EL.PA,Essilor,n/a (Paris),Euronext 100
ERF.PA,Eramet,n/a (Paris),Euronext 100
ENX.PA,Euronext,n/a (Paris),Euronext 100
RACE.MI,Ferrari,n/a (Milan),Euronext 100
FBK.MI,FinecoBank,n/a (Milan),Euronext 100
GALP.LS,Galp Energia,n/a (Lisbon),Euronext 100
GBLB.BR,Groupe Bruxelles Lambert,n/a (Brussels),Euronext 100
G.MI,Generali,n/a (Milan),Euronext 100
HAVAS.AS,Havas,n/a (Paris),Euronext 100
HEIA.AS,Heineken,n/a (Amsterdam),Euronext 100
INGA.AS,ING,n/a (Amsterdam),Euronext 100
ISP.MI,Intesa Sanpaolo,n/a (Milan),Euronext 100
INW.MI,Infrastrutture Wireless Italiane,n/a (Milan),Euronext 100
IPN.PA,Ipsen,n/a (Paris),Euronext 100
JMT.LS,Jerónimo Martins,n/a (Lisbon),Euronext 100
KBC.BR,KBC Bank,n/a (Brussels),Euronext 100
KER.PA,Kering,n/a (Paris),Euronext 100
KRZ.IR,Kerry Group,n/a (Dublin),Euronext 100
KRX.IR,Kingspan Group,n/a (Dublin),Euronext 100
PHIA.AS,Koninklijke Philips N.V.,n/a (Amsterdam),Euronext 100
KOG.OL,Kongsberg,n/a (Oslo),Euronext 100
KPN.AS,KPN,n/a (Amsterdam),Euronext 100
LR.PA,Legrand,n/a (Paris),Euronext 100
LDO.MI,Leonardo,n/a (Milan),Euronext 100
MB.MI,Mediobanca,n/a (Milan),Euronext 100
ML.PA,Michelin,n/a (Paris),Euronext 100
MONC.MI,Moncler,n/a (Milan),Euronext 100
